"","ta1","ta2","ta3","ta4","ta5"
"sp1","923-30","10-S65","Antarctica","Tyrol Valley","Tyrol Valley"
"sp2","923-38","11-S66","Antarctica","Horseshoe Mountain","Horseshoe Mountain"
"sp3","923-57c","12-S67","Antarctica","Battleship Promontory","Battleship Promontory"
"sp4","A834-557","13-S68","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp5","923-7","14-S69","Antarctica","Mount Fleming","Mount Fleming"
"sp6","834-560","15-S70","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp7","A867-91","16-S71","Antarctica","Mount Fleming","Mount Fleming"
"sp8","12.07.10.04","17-S72","Arctic","Eureka Site 1","Eureka Site 1"
"sp9","923-69c","18-S73","Antarctica","Battleship Promontory","Battleship Promontory"
"sp10","867-92a","19-S74","Antarctica","Mount Fleming","Mount Fleming"
"sp11","12.07.10.01","2-S57","Arctic","Ellesmere Island","Ellesmere Island"
"sp12","834-573","20-S75","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp13","856-11","21-S76","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp14","856-1","22-S77","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp15","834-579","23-S78","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp16","945-8","24-S79","Antarctica","Mount Fleming","Mount Fleming"
"sp17","EFF 2011-C","25-S80","Arctic","Ellesmere Island","Ellesmere Island"
"sp18","856-26","26-S81","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp19","867-114","27-S82","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp20","945-7","28-S83","Antarctica","Mount Fleming","Mount Fleming"
"sp21","923.68a","29-S84","Antarctica","Battleship Promontory","Battleship Promontory"
"sp22","05.07.06.11","3-S58","Arctic","Ellesmere Island","Ellesmere Island"
"sp23","923-5","30-S85","Antarctica","Mount Fleming","Mount Fleming"
"sp24","856.41","31-S86","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp25","923-4","32-S87","Antarctica","Horseshoe Mountain","Horseshoe Mountain"
"sp26","12.07.10.04","33-S88","Arctic","Eureka Site 1","Eureka Site 1"
"sp27","945-36","34-S89","Antarctica","Battleship Promontory","Battleship Promontory"
"sp28","945-36 sub","35-S90","Antarctica","Battleship Promontory","Battleship Promontory"
"sp29","A834-579","36-S91","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp30","07.07.06.02","37-S92","Arctic","Ellesmere Island","Ellesmere Island"
"sp31","17.07.07.03","4-S59","Arctic","Ellesmere Island","Ellesmere Island"
"sp32","07/2011-01","5-S60","Arctic","Eureka","Eureka"
"sp33","07/2011-02","6-S61","Arctic","Eureka","Eureka"
"sp34","945/01","7-S62","Antarctica","Tyrol Valley","Tyrol Valley"
"sp35","945/6","8-S63","Antarctica","Tyrol Valley","Tyrol Valley"
"sp36","834.578","9-S64","Antarctica","Mount Fleming","Mount Fleming"
"sp37","834-535 (525)","1-S56","Antarctica","Linnaeus Terrace","Linnaeus Terrace"
"sp38","923-30","10-S65","Antarctica","Tyrol Valley","Tyrol Valley"
"sp39","923-38","11-S66","Antarctica","Horseshoe Mountain","Horseshoe Mountain"
"sp40","923-57c","12-S67","Antarctica","Battleship Promontory","Battleship Promontory"
